Content ID,Category,Content Type,Reaction Type,sentiment,Reaction Score,datetime
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,indifferent,neutral,20,06-11-2020 13:13
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,adore,positive,72,16-10-2020 06:13
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,worried,negative,12,19-01-2021 11:25
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,cherish,positive,70,18-08-2020 08:10
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,peeking,neutral,35,08-11-2020 12:08
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,worried,negative,12,20-02-2021 10:37
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,peeking,neutral,35,22-05-2021 21:04
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,super love,positive,75,06-07-2020 02:16
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,worried,negative,12,26-03-2021 18:55
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,disgust,negative,0,22-02-2021 23:50
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,scared,negative,15,06-11-2020 02:44
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,intrigued,positive,45,09-06-2021 21:50
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,indifferent,neutral,20,20-10-2020 17:34
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,adore,positive,72,26-11-2020 06:17
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,heart,positive,60,22-01-2021 23:29
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,worried,negative,12,30-06-2020 10:56
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,love,positive,65,19-01-2021 13:35
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,want,positive,70,11-11-2020 01:24
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,adore,positive,72,25-03-2021 08:21
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,intrigued,positive,45,17-11-2020 00:34
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,hate,negative,5,15-03-2021 03:45
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,intrigued,positive,45,09-03-2021 15:29
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,cherish,positive,70,07-04-2021 10:31
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,cherish,positive,70,06-06-2021 04:06
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,interested,positive,30,31-12-2020 14:19
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,hate,negative,5,22-11-2020 21:34
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,interested,positive,30,05-02-2021 18:53
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,cherish,positive,70,27-06-2020 22:17
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,want,positive,70,03-12-2020 01:46
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,scared,negative,15,23-04-2021 23:15
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,love,positive,65,27-08-2020 08:52
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,peeking,neutral,35,26-02-2021 16:17
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,like,positive,50,11-01-2021 05:58
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,worried,negative,12,15-01-2021 04:24
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,dislike,negative,10,30-09-2020 22:28
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,adore,positive,72,08-05-2021 17:29
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,intrigued,positive,45,24-09-2020 19:28
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,heart,positive,60,15-01-2021 00:54
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,dislike,negative,10,04-01-2021 06:39
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,indifferent,neutral,20,03-05-2021 04:20
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,love,positive,65,07-06-2021 12:18
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,interested,positive,30,23-08-2020 23:27
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,worried,negative,12,02-07-2020 07:07
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,indifferent,neutral,20,20-08-2020 23:28
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,peeking,neutral,35,26-05-2021 06:27
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,super love,positive,75,10-04-2021 09:40
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,adore,positive,72,03-10-2020 18:30
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,peeking,neutral,35,24-07-2020 11:00
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,adore,positive,72,18-11-2020 17:02
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,want,positive,70,16-02-2021 21:25
89cb4504-fccd-40f4-945e-410f74ee4735,animals,photo,cherish,positive,70,04-04-2021 21:44
8fe92544-5c15-4f77-bc40-c6e4b7d13674,animals,GIF,hate,negative,5,12-10-2020 03:32
8fe92544-5c15-4f77-bc40-c6e4b7d13674,animals,GIF,super love,positive,75,02-08-2020 06:12
8fe92544-5c15-4f77-bc40-c6e4b7d13674,animals,GIF,intrigued,positive,45,12-06-2021 23:53
8fe92544-5c15-4f77-bc40-c6e4b7d13674,animals,GIF,worried,negative,12,11-05-2021 00:18
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,love,positive,65,12-10-2020 16:31
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,super love,positive,75,07-03-2021 13:22
cab37e79-0e76-4bd2-b6bd-2fc8bf66ca99,animals,photo,cherish,positive,70,11-02-2021 03:29
8fe92544-5c15-4f77-bc40-c6e4b7d13674,animals,GIF,super love,positive,75,12-11-2020 07:31
b70813e7-8acd-462a-9b13-6d1258030fed,animals,video,indifferent,neutral,20,26-03-2021 01:40
b70813e7-8acd-462a-9b13-6d1258030fed,animals,video,super love,positive,75,11-01-2021 14:25
b70813e7-8acd-462a-9b13-6d1258030fed,animals,video,peeking,neutral,35,27-08-2020 13:13
b70813e7-8acd-462a-9b13-6d1258030fed,animals,video,dislike,negative,10,27-08-2020 06:24
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,cherish,positive,70,07-12-2020 20:15
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,scared,negative,15,07-10-2020 23:06
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,indifferent,neutral,20,03-01-2021 12:44
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,dislike,negative,10,23-09-2020 13:49
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,scared,negative,15,07-02-2021 16:53
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,disgust,negative,0,10-08-2020 08:10
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,indifferent,neutral,20,13-05-2021 07:49
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,intrigued,positive,45,22-09-2020 12:38
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,love,positive,65,16-06-2021 17:03
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,hate,negative,5,20-11-2020 11:30
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,worried,negative,12,17-03-2021 08:34
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,love,positive,65,17-10-2020 09:34
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,interested,positive,30,25-04-2021 01:50
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,heart,positive,60,26-04-2021 21:04
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,peeking,neutral,35,17-01-2021 20:29
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,heart,positive,60,07-06-2021 06:36
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,love,positive,65,01-10-2020 11:33
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,hate,negative,5,24-02-2021 07:50
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,cherish,positive,70,30-10-2020 10:32
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,worried,negative,12,12-09-2020 23:37
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,worried,negative,12,30-11-2020 19:17
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,dislike,negative,10,20-07-2020 23:37
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,worried,negative,12,19-12-2020 16:29
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,interested,positive,30,23-07-2020 09:51
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,interested,positive,30,20-04-2021 02:18
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,hate,negative,5,06-04-2021 21:55
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,hate,negative,5,30-08-2020 10:01
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,heart,positive,60,17-02-2021 18:11
b9b0dcaa-7b39-4b15-9f75-165ae7aac6b8,animals,GIF,peeking,neutral,35,25-06-2020 11:53
